SPS1_1,SPS2_2,SPS2_3,SPS2_4,SPS2_5,SADBNK1,SADBNK2,SADBNK3,SADBNK4,SADBNK5,SADBNK6,SADBNK7,SADBNK8,SADBNK9,SADBNK10,SADBNK11,SADBNK12,SADBNK13,SADBNK14,SADBNK15,SADBNK16,SADBNK17,SADBNK18,SADBNK19,SADBNK20,SADBNK21,SADBNK22,SADBNK23,SADBNK24,SADBNK25,SADBNK26,SOPHStot,SOCtot
1,1,0,2,0,2,1,0,2,2,0,2,2,2,1,0,1,0,1,2,1,1,2,1,1,0,4,1,3,0,1,4,33
2,2,3,2,2,3,2,3,3,2,2,3,3,2,4,3,2,2,3,3,2,3,2,3,2,3,3,1,3,3,2,11,67
2,2,2,2,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,4,4,3,4,11,99
0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,0,29
4,3,4,3,4,4,2,4,4,3,3,4,4,4,4,4,3,2,4,4,4,4,4,3,3,4,4,4,4,4,3,18,94
2,1,1,1,0,2,0,2,2,2,0,2,2,1,1,1,2,0,0,2,0,2,1,2,0,1,3,3,2,0,2,5,35
4,2,4,3,3,4,4,4,3,4,4,4,4,3,3,3,3,4,3,4,3,4,3,3,3,3,4,3,3,3,2,16,88
1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,0,3,1,2,0,2,4,31
1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,1,1,1,0,0,0,0,0,0,2,0,2,1,0,2,13
3,3,2,0,1,2,2,2,1,2,1,1,2,2,1,3,3,1,2,3,1,3,2,3,1,2,2,2,4,1,3,9,52
1,1,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,2,10
4,3,3,4,4,2,3,2,3,3,2,3,4,3,2,3,3,3,3,3,3,3,2,2,3,3,4,4,4,3,4,18,77
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,2,4,20,98
1,0,0,1,0,1,1,0,0,1,2,2,0,0,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0,2,0,2,17
2,0,0,1,0,1,0,2,1,1,0,2,0,2,1,0,0,0,2,2,1,2,1,1,2,0,2,0,2,2,0,3,27
2,1,1,3,1,2,2,2,2,3,2,3,2,2,4,2,2,2,3,2,2,2,1,2,2,1,3,1,2,1,2,8,54
3,1,3,0,4,4,4,4,3,4,4,3,4,4,2,2,3,3,4,3,4,4,2,3,3,1,4,3,4,4,4,11,87
0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,2,2,1,1,0,0,0,0,2,2,0,1,0,0,16
